lab proto group dose1 dose2 body wet blot
ChungKorea B 10  3.00  0.10   41.60  105.60   89.10
ChungKorea B 10  3.00  0.10   51.80  176.80  134.60
ChungKorea B 10  3.00  0.10   54.10  183.00  141.70
ChungKorea B 11  3.00  1.00   43.20   51.60   48.40
ChungKorea B 11  3.00  1.00   42.00   53.00   50.10
ChungKorea B 11  3.00  1.00   43.60   62.30   55.70
ChungKorea B 11  3.00  1.00   38.70   54.50   49.80
ChungKorea B 11  3.00  1.00   54.30   58.60   55.40
ChungKorea B 11  3.00  1.00   49.30   59.30   55.60
Citfrance A  1  0.00  0.00    55.70    39.99    39.00
Citfrance A  1  0.00  0.00    52.00    50.39    47.87
Citfrance A  1  0.00  0.00    57.40    39.97    38.67
Citfrance A  1  0.00  0.00    58.50    64.00    61.34
Citfrance A  1  0.00  0.00    60.70    43.59    42.74
Citfrance A  1  0.00  0.00    63.70    43.00    41.10
Citfrance A  2  0.00  0.00    50.20    39.41    38.70
Citfrance A  2  0.00  0.00    51.70    43.15    41.53
Citfrance A  2  0.00  0.00    53.70    37.52    36.99
Citfrance A  2  0.00  0.00    56.00    35.65    34.40
Citfrance A  2  0.00  0.00    59.00    39.92    39.02
Citfrance A  2  0.00  0.00    60.30    57.84    56.66
Citfrance A  3  0.01  0.00    44.10    37.62    37.04
Citfrance A  3  0.01  0.00    53.00    39.05    33.59
Citfrance A  3  0.01  0.00    51.00    34.10    32.75
Citfrance A  3  0.01  0.00    61.40    44.50    42.30
Citfrance A  3  0.01  0.00    60.60    42.76    41.42
Citfrance A  3  0.01  0.00    64.40    51.10    49.24
Citfrance A  4  0.03  0.00    49.00    39.51    38.39
Citfrance A  4  0.03  0.00    52.60    48.20    46.16
Citfrance A  4  0.03  0.00    56.00    33.67    32.91
Citfrance A  4  0.03  0.00    59.60    57.86    56.41
Citfrance A  4  0.03  0.00    64.00    46.08    45.44
Citfrance A  4  0.03  0.00    62.90    63.11    59.00
Citfrance A  5  0.10  0.00    50.40    32.59    31.88
Citfrance A  5  0.10  0.00    51.10    37.00    35.88
Citfrance A  5  0.10  0.00    54.80    47.53    46.27
Citfrance A  5  0.10  0.00    59.40    53.93    51.77
Citfrance A  5  0.10  0.00    63.80    36.00    35.12
Citfrance A  5  0.10  0.00    60.60    48.03    46.02
Citfrance A  6  0.30  0.00    49.10    33.69    33.11
Citfrance A  6  0.30  0.00    48.60    37.60    35.19
Citfrance A  6  0.30  0.00    53.60    32.61    31.69
Citfrance A  6  0.30  0.00    60.60    70.60    67.20
Citfrance A  6  0.30  0.00    62.40    53.20    52.75
Citfrance A  6  0.30  0.00    62.50    60.54    58.40
Citfrance A  7  1.00  0.00    48.70    62.10    60.99
Citfrance A  7  1.00  0.00    54.00    70.38    70.00
Citfrance A  7  1.00  0.00    55.40    64.11    61.97
Citfrance A  7  1.00  0.00    57.70    71.80    70.16
Citfrance A  7  1.00  0.00    63.00    60.99    60.04
Citfrance A  7  1.00  0.00    58.80    60.00    57.54
Citfrance A  8  3.00  0.00    44.30    94.54    91.32
Citfrance A  8  3.00  0.00    52.50   103.20    98.39
Citfrance A  8  3.00  0.00    51.10   145.50   119.50
Citfrance A  8  3.00  0.00    56.60    99.70    92.73
Citfrance A  8  3.00  0.00    57.70   114.90   112.54
Citfrance A  8  3.00  0.00    62.10    94.10    90.20
Citfrance A  9 10.00  0.00    46.60   182.35   126.10
Citfrance A  9 10.00  0.00    53.80   215.25   158.80
Citfrance A  9 10.00  0.00    55.40   169.70   144.09
Citfrance A  9 10.00  0.00    56.90   159.30   140.60
Citfrance A  9 10.00  0.00    60.80   133.75   115.95
Citfrance A  9 10.00  0.00    60.60   215.90   160.71
Citfrance A 10  3.00  0.10    48.30   103.83   102.75
Citfrance A 10  3.00  0.10    54.70    95.80    92.83
Citfrance A 10  3.00  0.10    52.00    74.48    72.13
Citfrance A 10  3.00  0.10    58.90    70.46    66.41
Citfrance A 10  3.00  0.10    59.00   117.79    99.70
Citfrance A 10  3.00  0.10    66.70    90.29    88.02
Citfrance A 11  3.00  1.00    47.00    44.51    43.95
Citfrance A 11  3.00  1.00    50.70    46.40    43.07
Citfrance A 11  3.00  1.00    53.00    38.70    37.58
Citfrance A 11  3.00  1.00    58.30    57.47    55.45
Citfrance A 11  3.00  1.00    55.60    43.80    41.90
Citfrance A 11  3.00  1.00    62.90    50.41    48.67
Citijapan A  1  0.00  0.00    51.40    40.30    40.20
Citijapan A  1  0.00  0.00    51.90    44.30    42.80
Citijapan A  1  0.00  0.00    56.10    37.60    36.30
Citijapan A  1  0.00  0.00    50.90    42.50    41.70
Citijapan A  1  0.00  0.00    53.60    40.80    40.20
Citijapan A  1  0.00  0.00    50.90    29.60    28.80
Citijapan A  2  0.00  0.00    46.70    29.90    28.70
Citijapan A  2  0.00  0.00    51.80    35.70    35.00
Citijapan A  2  0.00  0.00    51.40    32.10    31.50
Citijapan A  2  0.00  0.00    55.10    37.40    35.90
Citijapan A  2  0.00  0.00    52.60    42.00    40.80
Citijapan A  2  0.00  0.00    52.20    34.20    33.80
Citijapan A  3  0.01  0.00    46.90    33.00    32.80
Citijapan A  3  0.01  0.00    53.40    36.60    35.80
Citijapan A  3  0.01  0.00    51.60    39.80    39.00
Citijapan A  3  0.01  0.00    40.60    23.90    23.50
Citijapan A  3  0.01  0.00    51.70    45.60    45.30
